Question,A,B,C,D,Correct
"Suppose that the price of coffee increases from $6 per kg to $8 per kg. What should happen to supply?",There will be an increase in supply,There will be a decrease in supply,There will be an expansion in supply,There will be a contraction in supply,C
"An increase in the minimum wage for a manufacturing firm raises the cost of labour for the firm. How would this likely impact the supply of the manufactured good?",There will be an increase in supply,There will be a decrease in supply,There will be an expansion in supply,There will be a contraction in supply,B
"Suppose that wheat and rice are related goods that can be substituted in production. If the price of rice was to decrease on global markets, how would this impact the supply of wheat?",There will be an increase in supply,There will be a decrease in supply,There will be an expansion in supply,There will be a contraction in supply,A
"Suppose that new fracking technology opens up new oil reserves. How would this likely impact the supply of oil?",There will be an increase in supply,There will be a decrease in supply,There will be an expansion in supply,There will be a contraction in supply,A
"The cost of fertiliser purchased and used by the agricultural industry falls, increasing the supply of crops. Which factor best explains this shift?",A fall in the price of crops,The provision of a subsidy,Improvement in technology,A decrease in the cost of factors of production,D
"[DIAGRAM: supply curve shifts left — S1 to S2] Which of the following factors could explain the shift in the supply curve from S1 to S2?",Selective breeding resulting in disease resistant tea plants,An increase in land rents on tea plantations,A decrease in the price of tea,An increase in the number of tea plantations,B
"Suppose that an economy decides to subsidise its agricultural sector by giving payments to farmers who produce beef. How would this likely affect the supply of beef?",There will be an increase in supply,There will be a decrease in supply,There will be an expansion in supply,There will be a contraction in supply,A
"Study the table below showing the expected real price of coal and gas. In five years' time, what would likely happen to the supply of coal? [Today: Coal $150/tonne | Gas $15/GJ] [Five years' time: Coal $150/tonne | Gas $10/GJ]",There will be an increase in supply,There will be a decrease in supply,There will be an expansion in supply,There will be a contraction in supply,A
"Consider the same energy sources, but this time both are expected to increase in price by 10% over the next 5 years. Ceteris paribus, what would likely happen to the supply of gas? [Today: Coal $150/tonne | Gas $15/GJ] [Five years' time: Coal $165/tonne | Gas $16.50/GJ]",There will be an increase in supply,There will be a decrease in supply,There will be an expansion in supply,There will be no change in supply,D
"Suppose that a tropical cyclone damages the banana crop of an economy. What is the likely impact on supply?",There will be an increase in supply,There will be a decrease in supply,There will be an expansion in supply,There will be a contraction in supply,B
"[DIAGRAM: supply curve shifts left — S1 to S2] What could explain the change in the supply of petrol cars from S1 to S2?",Increased use of robotics in the production of petrol cars,A reduction in the cost of electric vehicles (EVs),An expectation that petrol car prices will increase in the future,A reduction in public transport costs,B
"In the quest to reduce global CO2 emissions, more firms enter the mining sector to extract lithium for battery production. How would this affect the supply of lithium on global markets?",There will be an increase in supply,There will be a decrease in supply,There will be an expansion in supply,There will be a contraction in supply,A
"Consider the table below which shows changes to the tax placed on cigarettes. How would this likely impact the supply of cigarettes in year 2? [Year 1: Cigarette tax 70% of retail price] [Year 2: Cigarette tax 80% of retail price]",There will be an increase in supply,There will be a decrease in supply,There will be an expansion in supply,There will be a contraction in supply,B
"Which of the following changes in the factors of production would increase supply?",A decrease in the productivity of labour,A rise in the price of raw materials,An improvement in new technology,A reduction in the size of the workforce,C
"[DIAGRAM: supply curve] Suppose that the price of mobile phones fell by 10%. Given the curve shown, what would be the result in the supply of mobile phones?",FILL IN OPTION A,FILL IN OPTION B,FILL IN OPTION C,FILL IN OPTION D,D
